เลขที่,รหัสนักเรียน,ชื่อ-สกุล,ก่อนกลางภาค,กลางภาค,หลังกลางภาค,ปลายภาค,รวม,เกรด
1,25001,เด็กชายธีรเดช ศรีสุวรรณ,21,19,24,25,89,4
2,25002,เด็กหญิงพิมพ์ลภัส ใจดีงาม,18,14,25,26,83,4
3,25003,เด็กชายปิยะพงษ์ บุญมาก,15,17,16,29,77,3.5
4,25004,เด็กหญิงศิริพร แสงทองดี,19,13,19,25,76,3.5
5,25005,เด็กชายกิตติภพ พงษ์ไพบูลย์,23,12,18,27,80,4
6,25006,เด็กหญิงวิภาวี วัฒนกิจ,21,14,23,25,83,4
7,25007,เด็กชายธีรเดช ทองอยู่ดี,20,11,22,28,81,4
8,25008,เด็กหญิงมนัสนันท์ รักเรียนดี,18,11,24,18,71,3
9,25009,เด็กชายศุภกร สุขสมบูรณ์,21,16,25,16,78,3.5
10,25010,เด็กหญิงวิภาวี มณีรัตน์,21,18,17,20,76,3.5
11,25011,เด็กชายณัฐวุฒิ อินทร์สุวรรณ,23,17,16,21,77,3.5
12,25012,เด็กหญิงสุพิชญา เจริญทรัพย์,25,18,24,22,89,4
13,25013,เด็กชายณัฐวุฒิ ชูเกียรติ,20,16,23,26,85,4
14,25014,เด็กหญิงกัญญาณัฐ พรหมมาศ,20,15,21,20,76,3.5
15,25015,เด็กชายธีรเดช ยิ้มแย้มดี,23,10,19,25,77,3.5
16,25016,เด็กหญิงพิมพ์ลภัส คงมั่นคง,24,13,20,30,87,4
17,25017,เด็กชายพงศกร ธารทองแท้,18,14,25,22,79,3.5
18,25018,เด็กหญิงเบญญาภา วงศ์สถิตย์,15,19,17,25,76,3.5
19,25019,เด็กชายกิตติภพ นาคสมบูรณ์,24,20,25,19,88,4
20,25020,เด็กหญิงวิภาวี ปิ่นแก้ว,19,14,25,23,81,4
21,25021,เด็กชายธีรเดช สายบัวทอง,21,16,25,21,83,4
22,25022,เด็กหญิงธัญชนก เรืองรองฤทธิ์,15,13,19,18,65,2.5
23,25023,เด็กชายกิตติภพ ขจรเดชา,22,18,20,22,82,4
24,25024,เด็กหญิงอริสรา ภูผาทอง,16,16,23,26,81,4
25,25025,เด็กชายจิรายุ ดวงแก้วใส,22,18,24,28,92,4
26,25026,เด็กหญิงมนัสนันท์ อภิชาติกุล,25,17,24,19,85,4
27,25027,เด็กชายอดิศร สินสมบัติ,24,13,18,28,83,4
28,25028,เด็กหญิงกัญญาณัฐ ลิ้มเจริญ,20,12,22,25,79,3.5
29,25029,เด็กชายอดิศร หาญกล้าหาญ,16,13,17,21,67,2.5
30,25030,เด็กหญิงชนิสรา พูนสวัสดิ์,14,16,15,27,72,3
